side_a_device,side_a_type,side_a_name,side_b_name,side_b_type,side_b_device,status
SRV-004-001,dcim.interface,IDRAC,0/25,dcim.interface,SWT-004-001,connected
SRV-004-002,dcim.interface,IDRAC,0/26,dcim.interface,SWT-004-001,connected
SRV-004-003,dcim.interface,IDRAC,0/27,dcim.interface,SWT-004-001,connected
SRV-004-004,dcim.interface,IDRAC,0/28,dcim.interface,SWT-004-001,connected
SRV-004-005,dcim.interface,IDRAC,0/29,dcim.interface,SWT-004-001,connected
SRV-004-006,dcim.interface,IDRAC,0/25,dcim.interface,SWT-004-002,connected
SRV-004-007,dcim.interface,IDRAC,0/26,dcim.interface,SWT-004-002,connected
SRV-004-008,dcim.interface,IDRAC,0/27,dcim.interface,SWT-004-002,connected
SRV-004-009,dcim.interface,IDRAC,0/28,dcim.interface,SWT-004-002,connected
SRV-004-010,dcim.interface,IDRAC,0/29,dcim.interface,SWT-004-002,connected
SRV-004-011,dcim.interface,IDRAC,0/30,dcim.interface,SWT-004-001,connected
SRV-004-012,dcim.interface,IDRAC,0/31,dcim.interface,SWT-004-001,connected
SRV-004-013,dcim.interface,IDRAC,0/32,dcim.interface,SWT-004-001,connected
SRV-004-014,dcim.interface,IDRAC,0/33,dcim.interface,SWT-004-001,connected
SRV-004-015,dcim.interface,IDRAC,0/34,dcim.interface,SWT-004-001,connected
SRV-004-016,dcim.interface,IDRAC,0/30,dcim.interface,SWT-004-002,connected
SRV-004-017,dcim.interface,IDRAC,0/31,dcim.interface,SWT-004-002,connected
SRV-004-018,dcim.interface,IDRAC,0/32,dcim.interface,SWT-004-002,connected
SRV-004-001,dcim.interface,SLOT-0-NIC1-1,0/1,dcim.interface,SWT-004-001,connected
SRV-004-001,dcim.interface,SLOT-0-NIC1-2,0/1,dcim.interface,SWT-004-002,connected
SRV-004-002,dcim.interface,SLOT-0-NIC1-1,0/2,dcim.interface,SWT-004-001,connected
SRV-004-002,dcim.interface,SLOT-0-NIC1-2,0/2,dcim.interface,SWT-004-002,connected
SRV-004-003,dcim.interface,SLOT-0-NIC1-1,0/3,dcim.interface,SWT-004-001,connected
SRV-004-003,dcim.interface,SLOT-0-NIC1-2,0/3,dcim.interface,SWT-004-002,connected
SRV-004-004,dcim.interface,SLOT-0-NIC1-1,0/4,dcim.interface,SWT-004-001,connected
SRV-004-004,dcim.interface,SLOT-0-NIC1-2,0/4,dcim.interface,SWT-004-002,connected
SRV-004-005,dcim.interface,SLOT-0-NIC1-1,0/5,dcim.interface,SWT-004-001,connected
SRV-004-005,dcim.interface,SLOT-0-NIC1-2,0/5,dcim.interface,SWT-004-002,connected
SRV-004-006,dcim.interface,SLOT-0-NIC1-1,0/6,dcim.interface,SWT-004-001,connected
SRV-004-006,dcim.interface,SLOT-0-NIC1-2,0/6,dcim.interface,SWT-004-002,connected
SRV-004-007,dcim.interface,SLOT-0-NIC1-1,0/7,dcim.interface,SWT-004-001,connected
SRV-004-007,dcim.interface,SLOT-0-NIC1-2,0/7,dcim.interface,SWT-004-002,connected
SRV-004-008,dcim.interface,SLOT-0-NIC1-1,0/8,dcim.interface,SWT-004-001,connected
SRV-004-008,dcim.interface,SLOT-0-NIC1-2,0/8,dcim.interface,SWT-004-002,connected
SRV-004-009,dcim.interface,SLOT-0-NIC1-1,0/9,dcim.interface,SWT-004-001,connected
SRV-004-009,dcim.interface,SLOT-0-NIC1-2,0/9,dcim.interface,SWT-004-002,connected
SRV-004-010,dcim.interface,SLOT-0-NIC1-1,0/10,dcim.interface,SWT-004-001,connected
SRV-004-010,dcim.interface,SLOT-0-NIC1-2,0/10,dcim.interface,SWT-004-002,connected
SRV-004-011,dcim.interface,SLOT-0-NIC1-1,0/11,dcim.interface,SWT-004-001,connected
SRV-004-011,dcim.interface,SLOT-0-NIC1-2,0/11,dcim.interface,SWT-004-002,connected
SRV-004-012,dcim.interface,SLOT-0-NIC1-1,0/12,dcim.interface,SWT-004-001,connected
SRV-004-012,dcim.interface,SLOT-0-NIC1-2,0/12,dcim.interface,SWT-004-002,connected
SRV-004-013,dcim.interface,SLOT-0-NIC1-1,0/13,dcim.interface,SWT-004-001,connected
SRV-004-013,dcim.interface,SLOT-0-NIC1-2,0/13,dcim.interface,SWT-004-002,connected
SRV-004-014,dcim.interface,SLOT-0-NIC1-1,0/14,dcim.interface,SWT-004-001,connected
SRV-004-014,dcim.interface,SLOT-0-NIC1-2,0/14,dcim.interface,SWT-004-002,connected
SRV-004-015,dcim.interface,SLOT-0-NIC1-1,0/15,dcim.interface,SWT-004-001,connected
SRV-004-015,dcim.interface,SLOT-0-NIC1-2,0/15,dcim.interface,SWT-004-002,connected
SRV-004-016,dcim.interface,SLOT-0-NIC1-1,0/16,dcim.interface,SWT-004-001,connected
SRV-004-016,dcim.interface,SLOT-0-NIC1-2,0/16,dcim.interface,SWT-004-002,connected
SRV-004-017,dcim.interface,SLOT-0-NIC1-1,0/17,dcim.interface,SWT-004-001,connected
SRV-004-017,dcim.interface,SLOT-0-NIC1-2,0/17,dcim.interface,SWT-004-002,connected
SRV-004-018,dcim.interface,SLOT-0-NIC1-1,0/18,dcim.interface,SWT-004-001,connected
SRV-004-018,dcim.interface,SLOT-0-NIC1-2,0/18,dcim.interface,SWT-004-002,connected
SRV-004-001,dcim.interface,SLOT-6-NIC1-1,0/1,dcim.interface,SWT-004-003,connected
SRV-004-001,dcim.interface,SLOT-6-NIC1-2,0/1,dcim.interface,SWT-004-004,connected
SRV-004-001,dcim.interface,SLOT-7-NIC1-1,0/2,dcim.interface,SWT-004-003,connected
SRV-004-001,dcim.interface,SLOT-7-NIC1-2,0/2,dcim.interface,SWT-004-004,connected
SRV-004-002,dcim.interface,SLOT-3-NIC1-1,0/3,dcim.interface,SWT-004-003,connected
SRV-004-002,dcim.interface,SLOT-3-NIC1-2,0/3,dcim.interface,SWT-004-004,connected
SRV-004-002,dcim.interface,SLOT-6-NIC1-1,0/4,dcim.interface,SWT-004-003,connected
SRV-004-002,dcim.interface,SLOT-6-NIC1-2,0/4,dcim.interface,SWT-004-004,connected
SRV-004-003,dcim.interface,SLOT-6-NIC1-1,0/5,dcim.interface,SWT-004-003,connected
SRV-004-003,dcim.interface,SLOT-6-NIC1-2,0/5,dcim.interface,SWT-004-004,connected
SRV-004-003,dcim.interface,SLOT-7-NIC1-1,0/6,dcim.interface,SWT-004-003,connected
SRV-004-003,dcim.interface,SLOT-7-NIC1-2,0/6,dcim.interface,SWT-004-004,connected
SRV-004-004,dcim.interface,SLOT-6-NIC1-1,0/7,dcim.interface,SWT-004-003,connected
SRV-004-004,dcim.interface,SLOT-6-NIC1-2,0/7,dcim.interface,SWT-004-004,connected
SRV-004-004,dcim.interface,SLOT-7-NIC1-1,0/8,dcim.interface,SWT-004-003,connected
SRV-004-004,dcim.interface,SLOT-7-NIC1-2,0/8,dcim.interface,SWT-004-004,connected
SRV-004-005,dcim.interface,SLOT-6-NIC1-1,0/9,dcim.interface,SWT-004-003,connected
SRV-004-005,dcim.interface,SLOT-6-NIC1-2,0/9,dcim.interface,SWT-004-004,connected
SRV-004-005,dcim.interface,SLOT-7-NIC1-1,0/10,dcim.interface,SWT-004-003,connected
SRV-004-005,dcim.interface,SLOT-7-NIC1-2,0/10,dcim.interface,SWT-004-004,connected
SRV-004-006,dcim.interface,SLOT-6-NIC1-1,0/11,dcim.interface,SWT-004-003,connected
SRV-004-006,dcim.interface,SLOT-6-NIC1-2,0/11,dcim.interface,SWT-004-004,connected
SRV-004-006,dcim.interface,SLOT-7-NIC1-1,0/12,dcim.interface,SWT-004-003,connected
SRV-004-006,dcim.interface,SLOT-7-NIC1-2,0/12,dcim.interface,SWT-004-004,connected
SRV-004-007,dcim.interface,SLOT-6-NIC1-1,0/13,dcim.interface,SWT-004-003,connected
SRV-004-007,dcim.interface,SLOT-6-NIC1-2,0/13,dcim.interface,SWT-004-004,connected
SRV-004-007,dcim.interface,SLOT-7-NIC1-1,0/14,dcim.interface,SWT-004-003,connected
SRV-004-007,dcim.interface,SLOT-7-NIC1-2,0/14,dcim.interface,SWT-004-004,connected
SRV-004-008,dcim.interface,SLOT-6-NIC1-1,0/15,dcim.interface,SWT-004-003,connected
SRV-004-008,dcim.interface,SLOT-6-NIC1-2,0/15,dcim.interface,SWT-004-004,connected
SRV-004-008,dcim.interface,SLOT-7-NIC1-1,0/16,dcim.interface,SWT-004-003,connected
SRV-004-008,dcim.interface,SLOT-7-NIC1-2,0/16,dcim.interface,SWT-004-004,connected
SRV-004-009,dcim.interface,SLOT-6-NIC1-1,0/17,dcim.interface,SWT-004-003,connected
SRV-004-009,dcim.interface,SLOT-6-NIC1-2,0/17,dcim.interface,SWT-004-004,connected
SRV-004-009,dcim.interface,SLOT-7-NIC1-1,0/18,dcim.interface,SWT-004-003,connected
SRV-004-009,dcim.interface,SLOT-7-NIC1-2,0/18,dcim.interface,SWT-004-004,connected
SRV-004-010,dcim.interface,SLOT-3-NIC1-1,0/19,dcim.interface,SWT-004-003,connected
SRV-004-010,dcim.interface,SLOT-3-NIC1-2,0/19,dcim.interface,SWT-004-004,connected
SRV-004-010,dcim.interface,SLOT-6-NIC1-1,0/20,dcim.interface,SWT-004-003,connected
SRV-004-010,dcim.interface,SLOT-6-NIC1-2,0/20,dcim.interface,SWT-004-004,connected
SRV-004-011,dcim.interface,SLOT-3-NIC1-1,0/21,dcim.interface,SWT-004-003,connected
SRV-004-011,dcim.interface,SLOT-3-NIC1-2,0/21,dcim.interface,SWT-004-004,connected
SRV-004-011,dcim.interface,SLOT-6-NIC1-1,0/22,dcim.interface,SWT-004-003,connected
SRV-004-011,dcim.interface,SLOT-6-NIC1-2,0/22,dcim.interface,SWT-004-004,connected
SRV-004-012,dcim.interface,SLOT-3-NIC1-1,0/23,dcim.interface,SWT-004-003,connected
SRV-004-012,dcim.interface,SLOT-3-NIC1-2,0/23,dcim.interface,SWT-004-004,connected
SRV-004-012,dcim.interface,SLOT-6-NIC1-1,0/24,dcim.interface,SWT-004-003,connected
