side_a_device,side_a_type,side_a_name,side_b_name,side_b_type,side_b_device,status
SRV-003-001,dcim.interface,SLOT-7-NIC1-1,0/2,dcim.interface,SWT-003-003,connected
SRV-003-001,dcim.interface,SLOT-7-NIC1-2,0/2,dcim.interface,SWT-003-004,connected
SRV-003-002,dcim.interface,SLOT-3-NIC1-1,0/3,dcim.interface,SWT-003-003,connected
SRV-003-002,dcim.interface,SLOT-3-NIC1-2,0/3,dcim.interface,SWT-003-004,connected
SRV-003-002,dcim.interface,SLOT-6-NIC1-1,0/4,dcim.interface,SWT-003-003,connected
SRV-003-002,dcim.interface,SLOT-6-NIC1-2,0/4,dcim.interface,SWT-003-004,connected
SRV-003-003,dcim.interface,SLOT-6-NIC1-1,0/5,dcim.interface,SWT-003-003,connected
SRV-003-003,dcim.interface,SLOT-6-NIC1-2,0/5,dcim.interface,SWT-003-004,connected
SRV-003-003,dcim.interface,SLOT-7-NIC1-1,0/6,dcim.interface,SWT-003-003,connected
SRV-003-003,dcim.interface,SLOT-7-NIC1-2,0/6,dcim.interface,SWT-003-004,connected
SRV-003-004,dcim.interface,SLOT-6-NIC1-1,0/7,dcim.interface,SWT-003-003,connected
SRV-003-004,dcim.interface,SLOT-6-NIC1-2,0/7,dcim.interface,SWT-003-004,connected
SRV-003-004,dcim.interface,SLOT-7-NIC1-1,0/8,dcim.interface,SWT-003-003,connected
SRV-003-004,dcim.interface,SLOT-7-NIC1-2,0/8,dcim.interface,SWT-003-004,connected
SRV-003-005,dcim.interface,SLOT-6-NIC1-1,0/9,dcim.interface,SWT-003-003,connected
SRV-003-005,dcim.interface,SLOT-6-NIC1-2,0/9,dcim.interface,SWT-003-004,connected
SRV-003-005,dcim.interface,SLOT-7-NIC1-1,0/10,dcim.interface,SWT-003-003,connected
SRV-003-005,dcim.interface,SLOT-7-NIC1-2,0/10,dcim.interface,SWT-003-004,connected
SRV-003-006,dcim.interface,SLOT-6-NIC1-1,0/11,dcim.interface,SWT-003-003,connected
SRV-003-006,dcim.interface,SLOT-6-NIC1-2,0/11,dcim.interface,SWT-003-004,connected
SRV-003-006,dcim.interface,SLOT-7-NIC1-1,0/12,dcim.interface,SWT-003-003,connected
SRV-003-006,dcim.interface,SLOT-7-NIC1-2,0/12,dcim.interface,SWT-003-004,connected
SRV-003-007,dcim.interface,SLOT-6-NIC1-1,0/13,dcim.interface,SWT-003-003,connected
SRV-003-007,dcim.interface,SLOT-6-NIC1-2,0/13,dcim.interface,SWT-003-004,connected
SRV-003-007,dcim.interface,SLOT-7-NIC1-1,0/14,dcim.interface,SWT-003-003,connected
